host_time,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta
1788561461.4109445,ENC,44010,0,,0,0
1788561461.4308393,ENC,44030,0,,0,0
1788561461.4507234,ENC,44050,0,,0,0
1788561461.4706998,ENC,44070,0,,0,0
1788561461.490542,ENC,44090,0,,0,0
1788561461.5104253,ENC,44110,0,,0,0
1788561461.5303235,ENC,44130,0,,0,0
1788561461.5503175,ENC,44150,0,,0,0
1788561461.5698326,ENC,44170,0,,0,0
1788561461.5901375,ENC,44190,0,,0,0
1788561461.6099987,ENC,44210,0,,0,0
1788561461.6299248,ENC,44230,0,,0,0
1788561461.649779,ENC,44250,0,,0,0
1788561461.6697674,ENC,44270,0,,0,0
1788561461.689609,ENC,44290,0,,0,0
1788561461.709477,ENC,44310,0,,0,0
1788561461.729419,ENC,44330,0,,0,0
1788561461.749317,ENC,44350,0,,0,0
1788561461.769175,ENC,44370,0,,0,0
1788561461.7891026,ENC,44390,0,,0,0
1788561461.8090155,ENC,44410,0,,0,0
1788561461.8288882,ENC,44430,0,,0,0
1788561461.8487997,ENC,44450,0,,0,0
1788561461.8687623,ENC,44470,0,,0,0
1788561461.888617,ENC,44490,0,,0,0
1788561461.9084942,ENC,44510,0,,0,0
1788561461.9283953,ENC,44530,0,,0,0
1788561461.9483163,ENC,44550,0,,0,0
1788561461.9681888,ENC,44570,0,,0,0
1788561461.9886212,CMD,44589,1,FWD_CM:100,,
1788561461.9907954,ENC,44592,1,,0,0
1788561462.008092,ENC,44610,1,,7,9
1788561462.0281887,ENC,44630,1,,19,24
1788561462.0480723,ENC,44650,1,,29,33
1788561462.0677574,ENC,44670,1,,36,40
1788561462.0876327,ENC,44690,1,,41,45
1788561462.1075206,ENC,44710,1,,47,49
1788561462.1274517,ENC,44730,1,,53,53
1788561462.1473453,ENC,44750,1,,57,54
1788561462.1677454,ENC,44770,1,,61,56
1788561462.1867518,ENC,44790,1,,63,59
1788561462.2066174,ENC,44810,1,,66,61
1788561462.2264738,ENC,44830,1,,69,64
1788561462.2463715,ENC,44850,1,,71,65
1788561462.266273,ENC,44870,1,,72,67
1788561462.2861826,ENC,44890,1,,73,68
1788561462.3060756,ENC,44910,1,,74,69
1788561462.3260305,ENC,44930,1,,75,71
1788561462.3458586,ENC,44950,1,,76,70
1788561462.365749,ENC,44970,1,,77,72
1788561462.3856213,ENC,44990,1,,78,72
1788561462.4055314,ENC,45010,1,,78,73
1788561462.4254117,ENC,45030,1,,77,73
1788561462.4453013,ENC,45050,1,,77,74
1788561462.4652174,ENC,45070,1,,79,74
1788561462.4850793,ENC,45090,1,,78,74
1788561462.5049999,ENC,45110,1,,78,74
1788561462.5249798,ENC,45130,1,,79,75
1788561462.544797,ENC,45150,1,,78,74
1788561462.5646548,ENC,45170,1,,80,74
1788561462.5848207,ENC,45190,1,,81,75
1788561462.6044602,ENC,45210,1,,79,75
1788561462.6243348,ENC,45230,1,,79,76
1788561462.644454,ENC,45250,1,,81,75
1788561462.6641603,ENC,45270,1,,80,76
1788561462.6840322,ENC,45290,1,,80,76
1788561462.7039444,ENC,45310,1,,80,76
1788561462.7239068,ENC,45330,1,,81,77
1788561462.7437544,ENC,45350,1,,80,76
1788561462.7636278,ENC,45370,1,,81,76
1788561462.783511,ENC,45390,1,,81,77
1788561462.8034225,ENC,45410,1,,80,77
1788561462.8233004,ENC,45430,1,,79,76
1788561462.8432248,ENC,45450,1,,80,76
1788561462.8631005,ENC,45470,1,,81,75
1788561462.883011,ENC,45490,1,,79,76
1788561462.9029179,ENC,45510,1,,80,76
1788561462.9228723,ENC,45530,1,,78,76
1788561462.942698,ENC,45550,1,,80,75
1788561462.9625657,ENC,45570,1,,80,76
1788561462.9824862,ENC,45590,1,,80,76
1788561463.0023775,ENC,45610,1,,80,76
1788561463.022245,ENC,45630,1,,79,76
1788561463.0421915,ENC,45650,1,,80,76
1788561463.0620928,ENC,45670,1,,80,76
1788561463.081951,ENC,45690,1,,80,77
1788561463.1018555,ENC,45710,1,,80,77
1788561463.1217866,ENC,45730,1,,81,77
1788561463.141674,ENC,45750,1,,80,77
1788561463.1615908,ENC,45770,1,,82,77
1788561463.1815667,ENC,45790,1,,80,78
1788561463.2013826,ENC,45810,1,,80,76
1788561463.221258,ENC,45830,1,,79,77
1788561463.241174,ENC,45850,1,,81,77
1788561463.2610712,ENC,45870,1,,80,77
1788561463.280955,ENC,45890,1,,80,77
1788561463.3008444,ENC,45910,1,,79,76
1788561463.3207355,ENC,45930,1,,79,77
1788561463.3406456,ENC,45950,1,,80,76
1788561463.3605185,ENC,45970,1,,80,77
1788561463.380507,ENC,45990,1,,80,76
1788561463.4003441,ENC,46010,1,,79,76
1788561463.4201949,ENC,46030,1,,79,77
1788561463.4401636,ENC,46050,1,,80,76
1788561463.4600606,ENC,46070,1,,80,77
1788561463.4799454,ENC,46090,1,,79,77
1788561463.499874,ENC,46110,1,,80,78
1788561463.5197673,ENC,46130,1,,80,78
1788561463.5396812,ENC,46150,1,,81,77
1788561463.5595818,ENC,46170,1,,81,77
1788561463.5795448,ENC,46190,1,,80,78
1788561463.5993683,ENC,46210,1,,78,77
1788561463.619244,ENC,46230,1,,79,77
1788561463.6392744,ENC,46250,1,,81,77
1788561463.659072,ENC,46270,1,,79,76
1788561463.678926,ENC,46290,1,,79,77
